                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 4.8855,                 1.2591,                 1.1569,                0.57398,                0.26121,                0.30545,                0.14718,                  4.927,                 1.1666,                 1.1524,             0.00089134,             0.00089134,             0.00089134
                     96,                 4.8907,                   1.23,                 1.1487,                0.53759,                 0.2558,                0.29783,                0.13528,                  4.849,                 1.2029,                 1.1697,             0.00088309,             0.00088309,             0.00088309
                     97,                 4.8885,                 1.2446,                  1.152,                0.55822,                0.26338,                0.30743,                0.14238,                 4.8676,                 1.1802,                 1.1616,             0.00087484,             0.00087484,             0.00087484
                     98,                 4.8856,                 1.2273,                 1.1414,                0.57532,                0.26576,                0.31208,                 0.1501,                 4.9045,                  1.142,                 1.1417,             0.00086659,             0.00086659,             0.00086659
                     99,                 4.8856,                 1.2131,                 1.1442,                0.56238,                0.26044,                0.30415,                0.13947,                 4.8469,                 1.1749,                 1.1565,             0.00085834,             0.00085834,             0.00085834
                    100,                 4.8809,                 1.2281,                 1.1394,                0.59948,                0.26809,                0.32043,                0.15341,                 4.8859,                 1.1445,                 1.1425,             0.00085009,             0.00085009,             0.00085009
                    101,                 4.8694,                 1.2253,                 1.1381,                0.60008,                0.26922,                0.32182,                 0.1569,                 4.8937,                 1.1323,                 1.1233,             0.00084184,             0.00084184,             0.00084184
                    102,                 4.8675,                 1.2101,                 1.1375,                0.58228,                0.26771,                0.31704,                0.15289,                 4.8711,                 1.1405,                 1.1386,             0.00083358,             0.00083358,             0.00083358
                    103,                 4.8637,                 1.1959,                 1.1309,                0.58104,                0.27326,                0.32211,                0.15509,                 4.8645,                 1.1312,                 1.1312,             0.00082533,             0.00082533,             0.00082533
                    104,                 4.8813,                 1.1952,                 1.1239,                0.62687,                0.27277,                0.33014,                0.16193,                 4.8819,                 1.1123,                 1.1134,             0.00081708,             0.00081708,             0.00081708
                    105,                 4.8738,                 1.2133,                 1.1353,                0.61718,                0.27434,                0.32668,                0.16008,                 4.8827,                  1.117,                 1.1231,             0.00080883,             0.00080883,             0.00080883
                    106,                 4.8521,                 1.2015,                   1.13,                0.60631,                0.27661,                0.32695,                0.16345,                 4.8993,                 1.1086,                 1.1111,             0.00080058,             0.00080058,             0.00080058
                    107,                 4.8628,                 1.1902,                 1.1284,                0.57018,                0.27274,                 0.3202,                0.14849,                 4.8054,                 1.1356,                 1.1354,             0.00079233,             0.00079233,             0.00079233
                    108,                  4.851,                 1.1935,                 1.1236,                0.61041,                0.26863,                0.32441,                0.15302,                 4.8036,                 1.1233,                 1.1297,             0.00078407,             0.00078407,             0.00078407
                    109,                 4.8554,                 1.1862,                 1.1237,                 0.6252,                0.27557,                0.33008,                0.16539,                 4.9009,                 1.0995,                 1.1045,             0.00077582,             0.00077582,             0.00077582
                    110,                 4.8586,                 1.1781,                 1.1212,                0.60774,                0.27738,                0.33153,                0.16373,                 4.8787,                 1.0959,                 1.1085,             0.00076757,             0.00076757,             0.00076757
                    111,                 4.8612,                 1.1587,                   1.11,                0.62828,                0.27557,                0.33757,                0.16742,                 4.8768,                 1.0857,                 1.1021,             0.00075932,             0.00075932,             0.00075932
                    112,                 4.8498,                 1.1622,                 1.1127,                0.59575,                0.27482,                0.32553,                0.15411,                 4.8299,                  1.123,                 1.1177,             0.00075107,             0.00075107,             0.00075107
                    113,                 4.8508,                 1.1617,                 1.1129,                0.59714,                0.27422,                0.32817,                0.15635,                 4.7979,                 1.1252,                 1.1347,             0.00074282,             0.00074282,             0.00074282
                    114,                 4.8428,                 1.1618,                 1.1096,                0.60409,                0.27804,                0.32908,                 0.1597,                 4.8366,                 1.1158,                 1.1208,             0.00073456,             0.00073456,             0.00073456
                    115,                 4.8188,                 1.1709,                 1.1135,                0.62887,                0.28439,                0.34253,                0.17089,                 4.8639,                 1.0771,                 1.1011,             0.00072631,             0.00072631,             0.00072631
                    116,                  4.843,                 1.1482,                 1.1023,                0.61296,                 0.2715,                0.32766,                0.15959,                 4.8263,                 1.1088,                 1.1233,             0.00071806,             0.00071806,             0.00071806
